plotnumber,treenumber,common name,dbh,,
25,1,Benguet Pine,57.8,,
25,2,Benguet Pine,40.5,,
25,3,Benguet Pine,46.6,,
25,4,Benguet Pine,67.3,,
25,5,Benguet Pine,52.8,,
25,6,Benguet Pine,70.3,,
25,7,Benguet Pine,51,,
25,8,Benguet Pine,54.1,,
25,9,Benguet Pine,54.7,,
25,10,Benguet Pine,30.1,,
26,1,Benguet Pine,35.5,,
26,2,Benguet Pine,66.5,,
26,3,Benguet Pine,31.6,,
26,4,Benguet Pine,32.1,,
26,5,Benguet Pine,36.5,,
26,6,Benguet Pine,46.5,,
26,7,Benguet Pine,33.2,,
26,8,Benguet Pine,30.2,,
26,9,Benguet Pine,34.7,,
26,10,Benguet Pine,30.1,,
26,11,Benguet Pine,42,,
26,12,Benguet Pine,77,,
26,13,Benguet Pine,86.4,,
26,14,Benguet Pine,99.2,,
26,15,Benguet Pine,74.3,,
26,16,Benguet Pine,54.5,,
27,1,Benguet Pine,31,,
27,2,Benguet Pine,34.9,,
27,3,Benguet Pine,46.3,,
27,4,Benguet Pine,50.3,,
27,5,Benguet Pine,30.2,,
27,6,Benguet Pine,98.3,,
27,7,Benguet Pine,39,,
27,8,Benguet Pine,30.3,,
27,9,Benguet Pine,33,,
27,10,Benguet Pine,34.2,,
28,1,Benguet Pine,31.2,,
28,2,Benguet Pine,113.7,,
28,3,Benguet Pine,89.2,,
28,4,Benguet Pine,76.3,,
28,5,Benguet Pine,41.4,,
28,6,Benguet Pine,38.2,,
28,7,Benguet Pine,31.9,,
28,8,Benguet Pine,37.5,,
28,9,Benguet Pine,32.7,,
28,10,Benguet Pine,40,,
28,11,Benguet Pine,39.9,,
28,12,Benguet Pine,33.7,,
28,13,Benguet Pine,30.7,,
28,14,Benguet Pine,39.3,,
28,15,Benguet Pine,45.1,,
28,16,Benguet Pine,31.9,,
28,17,Benguet Pine,36,,
28,18,Benguet Pine,42.3,,
28,19,Benguet Pine,41,,
28,20,Benguet Pine,37.2,,
28,21,Benguet Pine,30.2,,
28,22,Benguet Pine,48.2,,
28,23,Benguet Pine,50.6,,
29,1,Benguet Pine,35.6,,
29,2,Gmelina,32.4,,
29,3,Gmelina,42,,
29,4,Gmelina,56.4,,
29,5,Gmelina,35.5,,
29,6,Gmelina,34.3,,
29,7,Gmelina,32.7,,
29,8,Benguet Pine,30.7,,
29,9,Benguet Pine,30.6,,
29,10,Benguet Pine,32.1,,
29,11,Benguet Pine,34.5,,
29,12,Benguet Pine,38,,
29,13,Benguet Pine,32.3,,
29,14,Benguet Pine,33.3,,
29,15,Benguet Pine,36,,
29,16,Benguet Pine,30.7,,
29,17,Benguet Pine,44.3,,
29,18,Benguet Pine,48.2,,
29,19,Benguet Pine,34.4,,
29,20,Benguet Pine,55.4,,
30,1,Benguet Pine,43.5,,
30,2,Alnus,31.3,,
30,3,Gmelina,30.5,,
30,4,Gmelina,39.3,,
30,5,Alnus,31.4,,
30,6,Alnus,43.1,,
30,7,Alnus,45,,
30,8,Alnus,37.5,,
30,9,Gmelina,31,,
30,10,Gmelina,49.8,,
30,11,Gmelina,78.4,,
30,12,Gmelina,32.2,,
30,13,Gmelina,38.6,,
30,14,Gmelina,31.3,,
30,15,Benguet Pine,57.6,,
30,16,Benguet Pine,35.6,,
30,17,Benguet Pine,30.2,,
31,1,Benguet Pine,41.8,,
31,2,Gmelina,56.8,,
31,3,Gmelina,32.1,,
31,4,Gmelina,33.6,,
31,5,Narra,48.3,,
31,6,Benguet Pine,30.2,,
31,7,Benguet Pine,46.8,,
31,8,Benguet Pine,52.5,,
31,9,Alnus,31.2,,
31,10,Alnus,34.2,,
31,11,Benguet Pine,31.2,,
31,12,Gmelina,30.2,,
31,13,Benguet Pine,32.8,,
31,14,Gmelina,35,,
31,15,Alnus,30.5,,
31,16,Gmelina,30.2,,
32,1,Gmelina,31.9,,
32,2,Gmelina,37.7,,
32,3,Gmelina,41.4,,
32,4,Alnus,33.9,,
32,5,Alnus,44.8,,
32,6,Alnus,37.3,,
32,7,Benguet Pine,49.5,,
32,8,Benguet Pine,43.5,,
32,9,Benguet Pine,49.8,,
32,10,Gmelina,38,,
32,11,Gmelina,33.3,,
32,12,Gmelina,38.4,,
32,13,Gmelina,35.1,,
32,14,Gmelina,45,,
32,15,Gmelina,36.5,,
32,16,Gmelina,32.6,,
33,1,Benguet Pine,37.4,,
33,2,Benguet Pine,39.3,,
33,3,Benguet Pine,41.1,,
33,4,Benguet Pine,35.2,,
33,5,Benguet Pine,30.1,,
33,6,Benguet Pine,35.7,,
33,7,Benguet Pine,35.1,,
33,8,Benguet Pine,39.1,,
33,9,Benguet Pine,40.1,,
33,10,Benguet Pine,32.2,,
33,11,Benguet Pine,39.1,,
33,12,Benguet Pine,34.9,,
33,13,Benguet Pine,50.5,,
33,14,Benguet Pine,46.2,,
33,15,Benguet Pine,47.3,,
33,16,Benguet Pine,39.7,,
33,17,Benguet Pine,35.6,,
33,18,Benguet Pine,34.1,,
33,19,Benguet Pine,57.3,,
33,20,Benguet Pine,50.26,,
33,21,Benguet Pine,38.4,,
33,22,Alnus,45.5,,
33,23,Benguet Pine,42.5,,
33,24,Benguet Pine,44.4,,
34,1,Benguet Pine,30.5,,
34,1,Benguet Pine,40.7,,
34,1,Benguet Pine,41.7,,
34,1,Benguet Pine,39.6,,
34,2,Benguet Pine,36.9,,
34,3,Benguet Pine,34.5,,
34,4,Benguet Pine,35.5,,
34,5,Alnus,39.1,,
34,6,Alnus,54.3,,
34,7,Alnus,45.8,,
34,8,Benguet Pine,46.4,,
34,9,Benguet Pine,43.2,,
34,10,Benguet Pine,41.4,,
34,11,Benguet Pine,37.9,,
34,12,Benguet Pine,38.7,,
34,13,Benguet Pine,37.3,,
34,14,Benguet Pine,31.1,,
34,15,Benguet Pine,39.5,,
34,16,Benguet Pine,31.7,,
34,17,Benguet Pine,38.2,,
34,18,Benguet Pine,38,,
34,19,Benguet Pine,40.4,,
34,20,Benguet Pine,39.2,,
34,21,Benguet Pine,31.7,,
34,22,Benguet Pine,48.8,,
34,23,Benguet Pine,47.1,,
34,24,Benguet Pine,36.6,,
34,25,Benguet Pine,37.5,,
34,26,Benguet Pine,37,,
34,27,Benguet Pine,33.4,,
34,28,Benguet Pine,33.1,,
34,29,Benguet Pine,39,,
34,30,Benguet Pine,35.2,,
35,1,Benguet Pine,65.4,,
35,2,Benguet Pine,32.6,,
35,3,Benguet Pine,34.3,,
35,4,Benguet Pine,37.5,,
35,5,Benguet Pine,43.6,,
35,6,Benguet Pine,67.8,,
35,7,Benguet Pine,80.1,,
35,8,Benguet Pine,34.3,,
35,9,Benguet Pine,37.9,,
35,10,Benguet Pine,38.6,,
35,11,Benguet Pine,46.7,,
35,12,Benguet Pine,52.8,,
35,13,Benguet Pine,56.1,,
35,14,Benguet Pine,83.6,,
35,15,Benguet Pine,48.5,,
35,16,Benguet Pine,34.7,,
35,17,Benguet Pine,34.9,,
35,18,Benguet Pine,32.7,,
36,1,Benguet Pine,69,,
36,2,Benguet Pine,38,,
36,3,Benguet Pine,36,,
36,4,Benguet Pine,40,,
37,1,Benguet Pine,73.4,,
37,2,Benguet Pine,67.1,,
37,3,Benguet Pine,56.3,,
37,4,Benguet Pine,52.9,,
37,5,Benguet Pine,48.9,,
37,6,Benguet Pine,53.8,,
37,7,Benguet Pine,64.1,,
37,8,Benguet Pine,62.19,,
37,9,Benguet Pine,59.21,,
38,1,Benguet Pine,31.2,,
38,2,Benguet Pine,35.3,,
38,3,Benguet Pine,30.6,,
38,4,Benguet Pine,37,,
38,5,Benguet Pine,30.8,,
39,1,Benguet Pine,39.4,,
39,2,Benguet Pine,68.7,,
39,3,Benguet Pine,50.8,,
39,4,Benguet Pine,52.4,,
40,1,Benguet Pine,30.6,,
40,2,Alnus,37.8,,
41,0,,,,
42,0,,,,
43,0,,,,
44,1,Benguet Pine,39.2,,
44,2,Benguet Pine,34,,
44,3,Benguet Pine,56.6,,
44,4,Benguet Pine,31.8,,
44,5,Benguet Pine,30.6,,
44,6,Benguet Pine,40.8,,
44,7,Benguet Pine,32.1,,
44,8,Benguet Pine,30.9,,
44,9,Benguet Pine,39.6,,
44,10,Benguet Pine,56.6,,
44,11,Benguet Pine,34,,
44,12,Benguet Pine,39.2,,
44,13,Benguet Pine,49.3,,
44,14,Benguet Pine,65.7,,
44,15,Benguet Pine,46.8,,
44,16,Benguet Pine,49.9,,
44,17,Benguet Pine,59.8,,
44,18,Benguet Pine,53.2,,
44,19,Benguet Pine,53.4,,
44,20,Benguet Pine,51.5,,
44,21,Benguet Pine,44.5,,
44,22,Benguet Pine,37.5,,
44,23,Benguet Pine,42.1,,
44,24,Benguet Pine,66.4,,
44,25,Benguet Pine,49.5,,
44,26,Benguet Pine,43.7,,
44,27,Benguet Pine,47.1,,
44,28,Benguet Pine,34.1,,
44,29,Benguet Pine,32.3,,
44,30,Benguet Pine,36.6,,
44,31,Benguet Pine,47.8,,
44,32,Benguet Pine,55.9,,
44,33,Benguet Pine,49.1,,
44,34,Benguet Pine,34.3,,
44,35,Benguet Pine,36.1,,
44,36,Benguet Pine,33.9,,
44,37,Benguet Pine,35.5,,
45,1,Benguet Pine,34.4,,
45,2,Benguet Pine,34.4,,
45,3,Benguet Pine,45.9,,
45,4,Benguet Pine,37.8,,
45,5,Benguet Pine,34.5,,
45,6,Benguet Pine,42.8,,
45,7,Benguet Pine,49.5,,
45,8,Benguet Pine,50.8,,
45,9,Benguet Pine,35.5,,
45,10,Benguet Pine,34.4,,
45,11,Benguet Pine,50.6,,
45,12,Benguet Pine,36.8,,
45,13,Benguet Pine,74.4,,
45,14,Benguet Pine,36.7,,
45,15,Benguet Pine,36.7,,
45,16,Benguet Pine,51.7,,
45,17,Benguet Pine,46.8,,
45,18,Benguet Pine,45.4,,
45,19,Benguet Pine,59.6,,
45,20,Benguet Pine,40.3,,
45,21,Benguet Pine,48.7,,
45,22,Benguet Pine,36.9,,
45,23,Benguet Pine,41.7,,
45,24,Benguet Pine,63.6,,
45,25,Benguet Pine,39,,
45,26,Benguet Pine,38.5,,
45,27,Benguet Pine,33.7,,
45,28,Benguet Pine,55.5,,
45,29,Benguet Pine,31.5,,
45,30,Benguet Pine,42.5,,
45,31,Benguet Pine,52.8,,
45,32,Benguet Pine,31.6,,
45,33,Benguet Pine,39.1,,
