plotnumber,treenumber,common name,dbh
17,2,Benguet Pine, 50.30 
17,3,Benguet Pine, 56.90 
17,4,Benguet Pine, 57.60 
17,5,Benguet Pine, 37.90 
17,6,Benguet Pine, 67.30 
17,7,Benguet Pine, 40.00 
17,8,Benguet Pine, 47.20 
17,9,Benguet Pine, 37.80 
17,10,Benguet Pine, 52.10 
17,11,Benguet Pine, 45.90 
17,12,Benguet Pine, 36.10 
17,13,Benguet Pine, 44.10 
18,1,Benguet Pine, 43.00 
18,2,Benguet Pine, 41.20 
18,3,Benguet Pine, 53.30 
18,4,Benguet Pine, 65.00 
18,5,Benguet Pine, 47.10 
18,6,Benguet Pine, 74.00 
18,7,Benguet Pine, 64.50 
18,8,Benguet Pine, 54.40 
18,9,Benguet Pine, 56.00 
18,10,Benguet Pine, 58.20 
18,11,Benguet Pine, 48.30 
18,12,Benguet Pine, 46.50 
18,13,Benguet Pine, 43.70 
18,14,Benguet Pine, 75.90 
19,1,Benguet Pine, 34.10 
19,2,Benguet Pine, 52.30 
19,3,Benguet Pine, 48.00 
19,4,Benguet Pine, 48.90 
19,5,Benguet Pine, 34.50 
19,6,Benguet Pine, 53.90 
19,7,Benguet Pine, 52.20 
19,8,Benguet Pine, 62.70 
19,9,Benguet Pine, 45.60 
19,10,Benguet Pine, 52.00 
19,11,Benguet Pine, 49.00 
19,12,Benguet Pine, 54.10 
19,13,Benguet Pine, 40.50 
19,14,Benguet Pine, 50.90 
19,15,Benguet Pine, 50.00 
19,16,Benguet Pine, 49.90 
19,17,Benguet Pine, 55.50 
19,18,Benguet Pine, 57.00 
19,19,Benguet Pine, 70.80 
19,20,Benguet Pine, 57.60 
19,21,Benguet Pine, 40.20 
19,22,Benguet Pine, 62.30 
19,23,Benguet Pine, 64.40 
19,24,Benguet Pine, 53.50 
19,25,Benguet Pine, 37.00 
19,26,Benguet Pine, 96.80 
20,1,Benguet Pine, 56.10 
20,2,Benguet Pine, 47.30 
20,3,Benguet Pine, 42.50 
20,4,Benguet Pine, 53.50 
20,5,Benguet Pine, 33.40 
20,6,Benguet Pine, 44.50 
20,7,Benguet Pine, 44.00 
20,8,Benguet Pine, 48.80 
20,9,Benguet Pine, 52.60 
20,10,Benguet Pine, 46.00 
20,11,Benguet Pine, 38.70 
20,12,Benguet Pine, 31.30 
20,13,Benguet Pine, 44.60 
20,14,Benguet Pine, 48.50 
20,15,Benguet Pine, 36.80 
20,16,Benguet Pine, 34.20 
20,17,Benguet Pine, 86.00 
20,18,Benguet Pine, 71.90 
20,19,Benguet Pine, 37.50 
20,20,Benguet Pine, 39.60 
20,21,Benguet Pine, 57.20 
20,22,Benguet Pine, 55.90 
20,23,Benguet Pine, 54.40 
20,24,Benguet Pine, 67.40 
20,25,Benguet Pine, 78.50 
20,26,Benguet Pine, 42.00 
20,27,Benguet Pine, 80.50 
21,1,Benguet Pine, 37.00 
21,2,Benguet Pine, 59.70 
21,3,Benguet Pine, 36.40 
21,4,Benguet Pine, 33.90 
21,5,Benguet Pine, 56.50 
21,6,Benguet Pine, 50.00 
21,7,Benguet Pine, 47.10 
21,8,Benguet Pine, 40.90 
21,9,Benguet Pine, 45.80 
21,10,Benguet Pine, 37.50 
21,11,Benguet Pine, 36.10 
21,12,Benguet Pine, 44.90 
21,13,Benguet Pine, 83.40 
21,14,Benguet Pine, 43.60 
21,15,Benguet Pine, 48.00 
21,16,Benguet Pine, 32.40 
21,17,Benguet Pine, 52.70 
21,18,Benguet Pine, 37.00 
22,1,Benguet Pine, 40.10 
22,2,Benguet Pine, 46.80 
22,3,Benguet Pine, 64.50 
22,4,Benguet Pine, 72.00 
22,5,Benguet Pine, 54.50 
22,6,Benguet Pine, 38.50 
22,7,Benguet Pine, 31.70 
22,8,Benguet Pine, 60.50 
22,9,Benguet Pine, 40.30 
22,10,Benguet Pine, 60.40 
22,11,Benguet Pine, 86.20 
23,1,Benguet Pine, 42.30 
23,2,Benguet Pine, 62.00 
23,3,Benguet Pine, 56.30 
23,4,Benguet Pine, 58.10 
23,5,Benguet Pine, 34.50 
23,6,Benguet Pine, 69.50 
23,7,Benguet Pine, 31.60 
23,8,Benguet Pine, 71.80 
23,9,Benguet Pine, 53.50 
24,1,Benguet Pine, 40.20 
24,2,Benguet Pine, 39.50 
24,3,Benguet Pine, 41.00 
24,4,Benguet Pine, 30.10 
24,5,Benguet Pine, 40.80 
24,6,Benguet Pine, 40.60 
24,7,Benguet Pine, 56.70 
24,8,Benguet Pine, 32.10 
24,9,Benguet Pine, 47.90 
24,10,Benguet Pine, 55.20 
24,11,Benguet Pine, 40.70 
24,12,Benguet Pine, 48.20 
24,13,Benguet Pine, 54.30 
24,14,Benguet Pine, 34.20 
24,15,Benguet Pine, 53.20 
24,16,Benguet Pine, 97.40 
25,1,Benguet Pine, 57.80 
25,2,Benguet Pine, 40.50 
25,3,Benguet Pine, 46.60 
25,4,Benguet Pine, 67.30 
25,5,Benguet Pine, 52.80 
25,6,Benguet Pine, 70.30 
25,7,Benguet Pine, 51.00 
25,8,Benguet Pine, 54.10 
25,9,Benguet Pine, 54.70 
25,10,Benguet Pine, 30.10 
26,1,Benguet Pine, 35.50 
26,2,Benguet Pine, 66.50 
26,3,Benguet Pine, 31.60 
26,4,Benguet Pine, 32.10 
26,5,Benguet Pine, 36.50 
26,6,Benguet Pine, 46.50 
26,7,Benguet Pine, 33.20 
26,8,Benguet Pine, 30.20 
26,9,Benguet Pine, 34.70 
26,10,Benguet Pine, 30.10 
26,11,Benguet Pine, 42.00 
26,12,Benguet Pine, 77.00 
26,13,Benguet Pine, 86.40 
26,14,Benguet Pine, 99.20 
26,15,Benguet Pine, 74.30 
26,16,Benguet Pine, 54.50 
27,1,Benguet Pine, 31.00 
27,2,Benguet Pine, 34.90 
27,3,Benguet Pine, 46.30 
27,4,Benguet Pine, 50.30 
27,5,Benguet Pine, 30.20 
27,6,Benguet Pine, 98.30 
27,7,Benguet Pine, 39.00 
27,8,Benguet Pine, 30.30 
27,9,Benguet Pine, 33.00 
27,10,Benguet Pine, 34.20 
28,1,Benguet Pine, 31.20 
28,2,Benguet Pine, 113.70 
28,3,Benguet Pine, 89.20 
28,4,Benguet Pine, 76.30 
28,5,Benguet Pine, 41.40 
28,6,Benguet Pine, 38.20 
28,7,Benguet Pine, 31.90 
28,8,Benguet Pine, 37.50 
28,9,Benguet Pine, 32.70 
28,10,Benguet Pine, 40.00 
28,11,Benguet Pine, 39.90 
28,12,Benguet Pine, 33.70 
28,13,Benguet Pine, 30.70 
28,14,Benguet Pine, 39.30 
28,15,Benguet Pine, 45.10 
28,16,Benguet Pine, 31.90 
28,17,Benguet Pine, 36.00 
28,18,Benguet Pine, 42.30 
28,19,Benguet Pine, 41.00 
28,20,Benguet Pine, 37.20 
28,21,Benguet Pine, 30.20 
28,22,Benguet Pine, 48.20 
28,23,Benguet Pine, 50.60 
29,1,Benguet Pine, 35.60 
29,2,Gmelina, 32.40 
29,3,Gmelina, 42.00 
29,4,Gmelina, 56.40 
29,5,Gmelina, 35.50 
29,6,Gmelina, 34.30 
29,7,Gmelina, 32.70 
29,8,Benguet Pine, 30.70 
29,9,Benguet Pine, 30.60 
29,10,Benguet Pine, 32.10 
29,11,Benguet Pine, 34.50 
29,12,Benguet Pine, 38.00 
29,13,Benguet Pine, 32.30 
